Bokført	Rentedato	Tekstkode	Beskrivelse	Beløp	Arkivref.	Motkonto
30.11.2013	29.11.2013	VARER	29.11 NARVESEN 830 SENTRALST. OSLO	-20,00	17017911135	
30.11.2013	29.11.2013	VARER	29.11 BIK BOK J31 ERICH MOGENS OSLO	-299,00	17017996557	
30.11.2013	29.11.2013	VARER	29.11 171 BOOTS APOTEK LINDERUD	-405,70	17017903025	
30.11.2013	29.11.2013	VARER	29.11 CISCO CATERING PHILIP PERDE LYSAKER	-45,00	17017758625	
28.11.2013	28.11.2013	VARER	27.11 171 BOOTS APOTEK LINDERUD	-316,90	17017750996	
28.11.2013	28.11.2013	VARER	27.11 LINDEX AVD. 232 E MOGENSSØNS OSLO	-997,50	17017982553	
28.11.2013	28.11.2013	VARER	27.11 LINDEX AVD. 232 E MOGENSSØNS OSLO	-299,00	17017006377	
28.11.2013	28.11.2013	VARER	27.11 NARVESEN 477 ERIK MOGENSØ OSLO	-12,00	17017013050	
27.11.2013	27.11.2013	VARER	26.11 ICA Supermarked Linder OSLO	-117,50	17017008433	
27.11.2013	27.11.2013	VARER	26.11 ICA Supermarked Linder OSLO	-111,90	17017023556	
27.11.2013	27.11.2013	AVTGI	Gudbrandsdal Energi AS	-177,81	93420709	2095.19.81088
27.11.2013	27.11.2013	VARER	26.11 ICA Supermarked Linder OSLO	-454,17	17017967716	
27.11.2013	27.11.2013	VARER	26.11 LIFE LINDERUD S ERICH MOGENS OSLO	-107,00	17017822047	
27.11.2013	27.11.2013	VARER	26.11 VINMONOPOLET LINDERUD OSLO	-182,10	17017854124	
